,th0,th1,step,diffLogLikelihood,logLikelihood
0,0.7,0.0,0.0,0.0,-869.4844785586331
1,0.4372572947778705,0.1762715001092255,1.0,57.38682223213959,-812.0976563264935
2,0.45035285086984206,0.18255373382957119,0.7071067811865476,10.841316076315024,-801.2563402501785
3,0.46378508073602065,0.19258558068435516,0.5773502691896257,5.331084814668202,-795.9252554355103
4,0.4683406310793536,0.20123965167722163,0.5,15.639801871599047,-780.2854535639112
5,0.47700692926106003,0.2096239142585931,0.4472135954999579,1.6144271672150126,-781.8998807311262
6,0.48304806803350087,0.2140524938836959,0.408248290463863,6.931539650129025,-774.9683410809972
7,0.4887296909772711,0.2198112708513336,0.37796447300922725,1.327697403509319,-776.2960384845065
8,0.4927247038342718,0.22375893476917552,0.3535533905932738,6.818856285590755,-769.4771821989158
9,0.4953309777001709,0.22765911033035904,0.3333333333333333,2.4697988696294715,-771.9469810685453
10,0.49741265609300944,0.23370850034580254,0.31622776601683794,0.24576841043574404,-772.192749478981
11,0.49863319717529264,0.2393508950044062,0.30151134457776363,3.500879019515196,-775.6936284984962
12,0.49933715338944923,0.2441582161972517,0.28867513459481287,2.1499534755856757,-773.5436750229105
13,0.5015591754195416,0.24709360046835518,0.2773500981126146,2.1601854862449272,-775.7038605091554
14,0.5014033482662639,0.2517921031107079,0.2672612419124244,5.375814523494569,-770.3280459856609
15,0.5016723129801791,0.25761415967373535,0.25819888974716115,2.268016506705294,-772.5960624923662
16,0.5008160617500838,0.25896944612728473,0.25,1.4981857102578715,-774.094248202624
17,0.5003198193560483,0.26317869403399663,0.24253562503633297,5.624646710524303,-768.4696014920997
18,0.4998789043977679,0.2651821643517667,0.23570226039551584,5.62741749341842,-774.0970189855182
19,0.5012681847986622,0.26676457187061203,0.22941573387056177,3.0290630431503587,-771.0679559423678
20,0.5026558891325117,0.27045556881898036,0.22360679774997896,1.7381864521183843,-772.8061423944862
21,0.5037412178001205,0.27284974889717184,0.2182178902359924,1.6655188729487236,-771.1406235215375
22,0.5039086533104798,0.27549733354035916,0.21320071635561044,1.3023349416935162,-769.838288579844
23,0.5048453072169747,0.27851358409327914,0.20851441405707477,0.5671105563319543,-770.4053991361759
